Rok,KWP,Województwo,target_mortality_rate,male_pct,female_pct,sober_pct,edu_low_pct,edu_mid_pct,edu_higher_pct,edu_unknown_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,substances_pct,SES_instability_index,weekend_pct
2024,Opolskie,Opolskie,0.4088,0.7095,0.2905,0.1993,0.1689,0.2601,0.0203,0.5507,0.0777,0.3108,0.4223,0.1892,0.5338,-0.4493,0.2736
2024,Podkarpackie,Podkarpackie,0.3651,0.7302,0.2698,0.1443,0.1703,0.228,0.0231,0.5786,0.1284,0.2496,0.4416,0.1804,0.6609,-0.2179,0.2828
2024,Podlaskie,Podlaskie,0.2383,0.6296,0.3704,0.1548,0.1878,0.113,0.0157,0.6835,0.1722,0.2765,0.433,0.1183,0.6939,-0.2278,0.2783
2024,Pomorskie,Pomorskie,0.1996,0.5524,0.4476,0.2016,0.2107,0.1243,0.0144,0.6505,0.2147,0.3161,0.3743,0.0929,0.5975,-0.1505,0.2919
2024,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3224,0.6558,0.3442,0.1729,0.1822,0.148,0.0156,0.6542,0.1308,0.2882,0.4206,0.1604,0.6277,-0.2009,0.2975
2024,Wielkopolskie,Wielkopolskie,0.431,0.679,0.321,0.176,0.21,0.244,0.029,0.517,0.131,0.283,0.438,0.148,0.626,-0.236,0.306
2024,Zachodniopomorskie,Zachodniopomorskie,0.3108,0.63,0.37,0.1947,0.179,0.1258,0.0242,0.6711,0.1584,0.26,0.4293,0.1524,0.6179,-0.1886,0.3144
2024,Łódzkie,Łódzkie,0.217,0.5734,0.4266,0.1731,0.1521,0.1582,0.0277,0.6619,0.1278,0.3252,0.4206,0.1264,0.8276,-0.2184,0.2853
2024,Śląskie,Śląskie,0.2391,0.5863,0.4137,0.1988,0.1431,0.1707,0.0247,0.6615,0.1528,0.2983,0.4151,0.1339,0.6697,-0.1935,0.2983
2024,Świętokrzyskie,Świętokrzyskie,0.3164,0.6387,0.3613,0.2559,0.2363,0.3008,0.0469,0.416,0.1582,0.252,0.418,0.1719,0.6035,-0.2871,0.2578
2025,Dolnośląskie,Dolnośląskie,0.3785,0.6395,0.3605,0.1668,0.1112,0.1238,0.0197,0.7453,0.1283,0.3013,0.4332,0.1372,0.4798,-0.1785,0.2933
2025,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.4208,0.6708,0.3292,0.1303,0.1092,0.1127,0.0246,0.7535,0.1074,0.287,0.4419,0.1637,0.5,-0.2271,0.3327
2025,Lubelskie,Lubelskie,0.33,0.6473,0.3527,0.1606,0.1858,0.158,0.0278,0.6283,0.1479,0.3085,0.3982,0.1454,0.5714,-0.1884,0.2693
2025,Lubuskie,Lubuskie,0.4396,0.6563,0.3437,0.1641,0.0991,0.0898,0.0186,0.7926,0.1115,0.2601,0.4675,0.161,0.4427,-0.1981,0.2663
2025,Mazowieckie,Mazowieckie,0.4587,0.6616,0.3384,0.1197,0.1259,0.1314,0.0426,0.7001,0.1224,0.2834,0.4285,0.1651,0.5103,-0.2345,0.2675
2025,Małopolskie,Małopolskie,0.3196,0.6425,0.3575,0.1751,0.1517,0.1711,0.0291,0.6481,0.1211,0.3366,0.3995,0.1429,0.5973,-0.2195,0.2728
2025,Opolskie,Opolskie,0.3776,0.7133,0.2867,0.1888,0.1364,0.2378,0.0175,0.6084,0.1084,0.2692,0.4615,0.1573,0.5769,-0.4056,0.2832
2025,Podkarpackie,Podkarpackie,0.3521,0.6714,0.3286,0.1721,0.1894,0.2426,0.0313,0.5368,0.1268,0.266,0.4429,0.1643,0.6056,-0.2457,0.2911
2025,Podlaskie,Podlaskie,0.2661,0.6125,0.3875,0.1252,0.1429,0.1292,0.0196,0.7084,0.135,0.3268,0.4286,0.1096,0.681,-0.1722,0.3053
2025,Pomorskie,Pomorskie,0.2182,0.574,0.426,0.1858,0.2065,0.1287,0.0151,0.6497,0.2154,0.3063,0.3785,0.0991,0.5843,-0.1514,0.2663
2025,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3333,0.6541,0.3459,0.1784,0.1628,0.1424,0.0141,0.6808,0.1549,0.2582,0.4272,0.1596,0.6072,-0.1565,0.3083
2025,Wielkopolskie,Wielkopolskie,0.3988,0.6351,0.3649,0.1864,0.1944,0.2871,0.0459,0.4726,0.1316,0.2702,0.4526,0.1456,0.5743,-0.1924,0.2851
2025,Zachodniopomorskie,Zachodniopomorskie,0.2978,0.6051,0.3949,0.2089,0.1725,0.1523,0.0243,0.6509,0.1482,0.3181,0.4137,0.1199,0.6402,-0.1536,0.3046
