Rok,KWP,Województwo,target_mortality_rate,male_pct,education_higher_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,SES_instability_index,substances_pct,institution_contact_pct,weekend_pct
2025,Opolskie,Opolskie,0.3776,0.7133,0.0175,0.1084,0.2692,0.4615,0.1573,-0.4056,0.5769,0.2098,0.2832
2025,Podkarpackie,Podkarpackie,0.3521,0.6714,0.0313,0.1268,0.266,0.4429,0.1643,-0.2457,0.6056,0.2676,0.2911
2025,Podlaskie,Podlaskie,0.2661,0.6125,0.0196,0.135,0.3268,0.4286,0.1096,-0.1722,0.681,0.2564,0.3053
2025,Pomorskie,Pomorskie,0.2182,0.574,0.0151,0.2154,0.3063,0.3785,0.0991,-0.1514,0.5843,0.2175,0.2663
2025,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3333,0.6541,0.0141,0.1549,0.2582,0.4272,0.1596,-0.1565,0.6072,0.1706,0.3083
2025,Wielkopolskie,Wielkopolskie,0.3988,0.6351,0.0459,0.1316,0.2702,0.4526,0.1456,-0.1924,0.5743,0.2881,0.2851
2025,Zachodniopomorskie,Zachodniopomorskie,0.2978,0.6051,0.0243,0.1482,0.3181,0.4137,0.1199,-0.1536,0.6402,0.2372,0.3046
2025,Łódzkie,Łódzkie,0.2174,0.585,0.0372,0.1187,0.3278,0.4304,0.1232,-0.2251,0.8063,0.2271,0.3028
2025,Śląskie,Śląskie,0.2467,0.6042,0.0208,0.1506,0.3002,0.42,0.1293,-0.2017,0.6487,0.2211,0.277
2025,Świętokrzyskie,Świętokrzyskie,0.3373,0.6727,0.0619,0.1257,0.2894,0.4092,0.1756,-0.3333,0.6128,0.2555,0.2475
